speaker,filename,path,original_sr,target_sr,transcript
unknown,unknown_bf60925c_FC01_1_arrayMic_0066.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_bf60925c_FC01_1_arrayMic_0066.wav,16000,16000,alpha
unknown,unknown_6ef8f691_FC01_1_arrayMic_0016.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_6ef8f691_FC01_1_arrayMic_0016.wav,16000,16000,the
unknown,unknown_3d6a0962_FC01_1_arrayMic_0061.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_3d6a0962_FC01_1_arrayMic_0061.wav,16000,16000,Except in the winter when the ooze or snow or ice prevents
unknown,unknown_668a9257_FC01_1_arrayMic_0053.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_668a9257_FC01_1_arrayMic_0053.wav,16000,16000,raid
unknown,unknown_6a1b2e2e_FC01_1_arrayMic_0043.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_6a1b2e2e_FC01_1_arrayMic_0043.wav,16000,16000,read 
unknown,unknown_5b534b12_FC01_1_arrayMic_0044.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_5b534b12_FC01_1_arrayMic_0044.wav,16000,16000,stubble
unknown,unknown_79e42b38_FC01_1_arrayMic_0151.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_79e42b38_FC01_1_arrayMic_0151.wav,16000,16000,ate
unknown,unknown_a48c9c1d_FC01_1_arrayMic_0052.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_a48c9c1d_FC01_1_arrayMic_0052.wav,16000,16000,store
unknown,unknown_ab12da0c_FC01_1_arrayMic_0009.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_ab12da0c_FC01_1_arrayMic_0009.wav,16000,16000,sip
unknown,unknown_49521e3e_FC01_1_arrayMic_0134.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_49521e3e_FC01_1_arrayMic_0134.wav,16000,16000,wish
unknown,unknown_4e0bc166_FC01_1_arrayMic_0136.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_4e0bc166_FC01_1_arrayMic_0136.wav,16000,16000,slay
unknown,unknown_b4e40b59_FC01_1_arrayMic_0153.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_b4e40b59_FC01_1_arrayMic_0153.wav,16000,16000,sigh
unknown,unknown_99fddcb5_FC01_1_arrayMic_0050.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_99fddcb5_FC01_1_arrayMic_0050.wav,16000,16000,jagged
unknown,unknown_ef23401a_FC01_1_arrayMic_0093.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_ef23401a_FC01_1_arrayMic_0093.wav,16000,16000,up
unknown,unknown_1e934d16_FC01_1_arrayMic_0031.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_1e934d16_FC01_1_arrayMic_0031.wav,16000,16000,chair
unknown,unknown_7aa4c868_FC01_1_arrayMic_0122.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_7aa4c868_FC01_1_arrayMic_0122.wav,16000,16000,one
unknown,unknown_49a306d4_FC01_1_arrayMic_0036.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_49a306d4_FC01_1_arrayMic_0036.wav,16000,16000,Don't ask me to carry an oily rag like that
unknown,unknown_473d1e99_FC01_1_arrayMic_0126.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_473d1e99_FC01_1_arrayMic_0126.wav,16000,16000,rock
unknown,unknown_66f814a2_FC01_1_arrayMic_0065.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_66f814a2_FC01_1_arrayMic_0065.wav,16000,16000,double
unknown,unknown_6797f6db_FC01_1_arrayMic_0028.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_6797f6db_FC01_1_arrayMic_0028.wav,16000,16000,form
unknown,unknown_b5fba95e_FC01_1_arrayMic_0046.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_b5fba95e_FC01_1_arrayMic_0046.wav,16000,16000,We have often urged him to walk more and smoke less
unknown,unknown_d4c11c23_FC01_1_arrayMic_0037.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_d4c11c23_FC01_1_arrayMic_0037.wav,16000,16000,warm
unknown,unknown_d04a3a34_FC01_1_arrayMic_0156.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_d04a3a34_FC01_1_arrayMic_0156.wav,16000,16000,white
unknown,unknown_eab84112_FC01_1_arrayMic_0033.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_eab84112_FC01_1_arrayMic_0033.wav,16000,16000,giving those who observe him a pronounced feeling of the utmost respect
unknown,unknown_9b7dd530_FC01_1_arrayMic_0118.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_9b7dd530_FC01_1_arrayMic_0118.wav,16000,16000,car
unknown,unknown_99990b48_FC01_1_arrayMic_0015.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_99990b48_FC01_1_arrayMic_0015.wav,16000,16000,When he speaks his voice is just a bit cracked and quivers a trifle
unknown,unknown_941fe2ea_FC01_1_arrayMic_0020.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_941fe2ea_FC01_1_arrayMic_0020.wav,16000,16000,bubble
unknown,unknown_e645d64d_FC01_1_arrayMic_0098.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_e645d64d_FC01_1_arrayMic_0098.wav,16000,16000,born
unknown,unknown_9766f14a_FC01_1_arrayMic_0159.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_9766f14a_FC01_1_arrayMic_0159.wav,16000,16000,troop
unknown,unknown_fdfbad71_FC01_1_arrayMic_0143.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_fdfbad71_FC01_1_arrayMic_0143.wav,16000,16000,play
unknown,unknown_2d694497_FC01_1_arrayMic_0139.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_2d694497_FC01_1_arrayMic_0139.wav,16000,16000,Nothing is as offensive as innocence
unknown,unknown_c9867e78_FC01_1_arrayMic_0051.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_c9867e78_FC01_1_arrayMic_0051.wav,16000,16000,goat
unknown,unknown_0eee2600_FC01_1_arrayMic_0160.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_0eee2600_FC01_1_arrayMic_0160.wav,16000,16000,slip
unknown,unknown_29f6cff6_FC01_1_arrayMic_0145.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_29f6cff6_FC01_1_arrayMic_0145.wav,16000,16000,whoop
unknown,unknown_ff56dda9_FC01_1_arrayMic_0055.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_ff56dda9_FC01_1_arrayMic_0055.wav,16000,16000,sticks
unknown,unknown_13eda18c_FC01_1_arrayMic_0107.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_13eda18c_FC01_1_arrayMic_0107.wav,16000,16000,gadget
unknown,unknown_abc75af8_FC01_1_arrayMic_0007.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_abc75af8_FC01_1_arrayMic_0007.wav,16000,16000,pat
unknown,unknown_ae0d6fbe_FC01_1_arrayMic_0110.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_ae0d6fbe_FC01_1_arrayMic_0110.wav,16000,16000,air
unknown,unknown_07db1062_FC01_1_arrayMic_0101.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_07db1062_FC01_1_arrayMic_0101.wav,16000,16000,two
unknown,unknown_9f954602_FC01_1_arrayMic_0097.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_9f954602_FC01_1_arrayMic_0097.wav,16000,16000,storm
unknown,unknown_204101fc_FC01_1_arrayMic_0138.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_204101fc_FC01_1_arrayMic_0138.wav,16000,16000,hear
unknown,unknown_224b5c5b_FC01_1_arrayMic_0013.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_224b5c5b_FC01_1_arrayMic_0013.wav,16000,16000,fair
unknown,unknown_5cba8787_FC01_1_arrayMic_0018.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_5cba8787_FC01_1_arrayMic_0018.wav,16000,16000,corn
unknown,unknown_1a231705_FC01_1_arrayMic_0147.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_1a231705_FC01_1_arrayMic_0147.wav,16000,16000,galore
unknown,unknown_8771bdf0_FC01_1_arrayMic_0141.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_8771bdf0_FC01_1_arrayMic_0141.wav,16000,16000,rocks
unknown,unknown_de6947f7_FC01_1_arrayMic_0006.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_de6947f7_FC01_1_arrayMic_0006.wav,16000,16000,dark
unknown,unknown_464cc87a_FC01_1_arrayMic_0119.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_464cc87a_FC01_1_arrayMic_0119.wav,16000,16000,range
unknown,unknown_a734573b_FC01_1_arrayMic_0010.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_a734573b_FC01_1_arrayMic_0010.wav,16000,16000,farm
unknown,unknown_7d03cdd1_FC01_1_arrayMic_0117.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_7d03cdd1_FC01_1_arrayMic_0117.wav,16000,16000,feed
unknown,unknown_b557736f_FC01_1_arrayMic_0049.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_b557736f_FC01_1_arrayMic_0049.wav,16000,16000,air
unknown,unknown_ba22b25f_FC01_1_arrayMic_0154.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_ba22b25f_FC01_1_arrayMic_0154.wav,16000,16000,urgent
unknown,unknown_23035547_FC01_1_arrayMic_0017.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_23035547_FC01_1_arrayMic_0017.wav,16000,16000,grow
unknown,unknown_5069ae1c_FC01_1_arrayMic_0075.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_5069ae1c_FC01_1_arrayMic_0075.wav,16000,16000,but he always answers Banana oil
unknown,unknown_7ae71845_FC01_1_arrayMic_0034.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_7ae71845_FC01_1_arrayMic_0034.wav,16000,16000,tip
unknown,unknown_04eb6aa5_FC01_1_arrayMic_0071.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_04eb6aa5_FC01_1_arrayMic_0071.wav,16000,16000,rake
unknown,unknown_fdb8abff_FC01_1_arrayMic_0120.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_fdb8abff_FC01_1_arrayMic_0120.wav,16000,16000,tear 
unknown,unknown_df2030c9_FC01_1_arrayMic_0144.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_df2030c9_FC01_1_arrayMic_0144.wav,16000,16000,ate
unknown,unknown_671e069c_FC01_1_arrayMic_0129.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_671e069c_FC01_1_arrayMic_0129.wav,16000,16000,steer
unknown,unknown_97dd8255_FC01_1_arrayMic_0157.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_97dd8255_FC01_1_arrayMic_0157.wav,16000,16000,I just try to do my best
unknown,unknown_682e9ba8_FC01_1_arrayMic_0032.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_682e9ba8_FC01_1_arrayMic_0032.wav,16000,16000,left
unknown,unknown_842976f7_FC01_1_arrayMic_0140.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_842976f7_FC01_1_arrayMic_0140.wav,16000,16000,We gathered shells on the beach
unknown,unknown_e6d5bd7b_FC01_1_arrayMic_0087.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_e6d5bd7b_FC01_1_arrayMic_0087.wav,16000,16000,knew
unknown,unknown_b1e2e310_FC01_1_arrayMic_0086.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_b1e2e310_FC01_1_arrayMic_0086.wav,16000,16000,for
unknown,unknown_1c38455d_FC01_1_arrayMic_0131.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_1c38455d_FC01_1_arrayMic_0131.wav,16000,16000,write
unknown,unknown_bfd1058e_FC01_1_arrayMic_0040.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_bfd1058e_FC01_1_arrayMic_0040.wav,16000,16000,Well he is nearly ninetythree years old
unknown,unknown_60a15f8e_FC01_1_arrayMic_0099.wav,/home/nidszxh/Projects/DysarthriaNSR/data/raw/audio/train/unknown_60a15f8e_FC01_1_arrayMic_0099.wav,16000,16000,bat
